GenericNNet3 results
... Connectivity = 
[[0. 1. 0. 0.]
 [0. 0. 1. 0.]
 [0. 0. 0. 1.]
 [0. 0. 0. 0.]]
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
Weights({i},{j}).shape = {self.weights(i,j).shape}
--> training_data generated (1000, 2)
Epoch 11300/25000: Average Cost = 0.04189725483231272
Epoch 11400/25000: Average Cost = 0.04179527878483861
Epoch 11500/25000: Average Cost = 0.04170125704153472
Epoch 11600/25000: Average Cost = 0.04160993879935337
Epoch 11700/25000: Average Cost = 0.04151943046539488
Epoch 11800/25000: Average Cost = 0.04142918190490836
Epoch 11900/25000: Average Cost = 0.041339181182075836
Epoch 12000/25000: Average Cost = 0.04124962039978311
Epoch 12100/25000: Average Cost = 0.041160754762704775
Epoch 12200/25000: Average Cost = 0.04107284284267385
Epoch 12300/25000: Average Cost = 0.040986120619054704
Epoch 12400/25000: Average Cost = 0.040900788688400254
Epoch 12500/25000: Average Cost = 0.04081700397236706
Epoch 12600/25000: Average Cost = 0.04073487312976097
Epoch 12700/25000: Average Cost = 0.04065444801668575
Epoch 12800/25000: Average Cost = 0.04057572493892932
Epoch 12900/25000: Average Cost = 0.04049864929947284
Epoch 13000/25000: Average Cost = 0.040423125857170276
Epoch 13100/25000: Average Cost = 0.040349032963997646
Epoch 13200/25000: Average Cost = 0.04027623786342918
Epoch 13300/25000: Average Cost = 0.04020461006166128
Epoch 13400/25000: Average Cost = 0.04013403081175699
Epoch 13500/25000: Average Cost = 0.04006439819851507
Epoch 13600/25000: Average Cost = 0.03999562847846274
Epoch 13700/25000: Average Cost = 0.03992765488580258
Epoch 13800/25000: Average Cost = 0.03986042512294635
Epoch 13900/25000: Average Cost = 0.039793898459886325
Epoch 14000/25000: Average Cost = 0.03972804300264783
Epoch 14100/25000: Average Cost = 0.03966283339071815
Epoch 14200/25000: Average Cost = 0.039598248987263836
Epoch 14300/25000: Average Cost = 0.03953427252220438
Epoch 14400/25000: Average Cost = 0.039470889107433564
Epoch 14500/25000: Average Cost = 0.0394080855381746
Epoch 14600/25000: Average Cost = 0.039345849805160434
Epoch 14700/25000: Average Cost = 0.03928417075803409
Epoch 14800/25000: Average Cost = 0.039223037875389985
Epoch 14900/25000: Average Cost = 0.03916244110923477
Epoch 15000/25000: Average Cost = 0.03910237078117896
Epoch 15100/25000: Average Cost = 0.03904281751430376
Epoch 15200/25000: Average Cost = 0.03898377218970209
Epoch 15300/25000: Average Cost = 0.03892522591983176
Epoch 15400/25000: Average Cost = 0.038867170033236115
Epoch 15500/25000: Average Cost = 0.03880959606684461
Epoch 15600/25000: Average Cost = 0.038752495763070424
Epoch 15700/25000: Average Cost = 0.038695861069857805
Epoch 15800/25000: Average Cost = 0.038639684142317894
Epoch 15900/25000: Average Cost = 0.038583957344985376
Epoch 16000/25000: Average Cost = 0.03852867325415464
Epoch 16100/25000: Average Cost = 0.038473824659791774
Epoch 16200/25000: Average Cost = 0.03841940456680087
Epoch 16300/25000: Average Cost = 0.03836540619549962
Epoch 16400/25000: Average Cost = 0.03831182298122152
Epoch 16500/25000: Average Cost = 0.03825864857303426
Epoch 16600/25000: Average Cost = 0.03820587683162143
Epoch 16700/25000: Average Cost = 0.0381535018263521
Epoch 16800/25000: Average Cost = 0.03810151783162162
Epoch 16900/25000: Average Cost = 0.038049919322558634
Epoch 17000/25000: Average Cost = 0.03799870097013331
`Epoch 17100/25000: Average Cost = 0.03794785763583789
Epoch 17200/25000: Average Cost = 0.03789738436588896
Epoch 17300/25000: Average Cost = 0.037847276385186174
Epoch 17400/25000: Average Cost = 0.03779752909096299
Epoch 17500/25000: Average Cost = 0.037748138046271563
Epoch 17600/25000: Average Cost = 0.03769909897336455
Epoch 17700/25000: Average Cost = 0.03765040774696248
Epoch 17800/25000: Average Cost = 0.03760206038754652
Epoch 17900/25000: Average Cost = 0.03755405305464993
Epoch 18000/25000: Average Cost = 0.037506382040211915
Epoch 18100/25000: Average Cost = 0.037459043762038645
Epoch 18200/25000: Average Cost = 0.03741203475735045
Epoch 18300/25000: Average Cost = 0.037365351676513434
Epoch 18400/25000: Average Cost = 0.03731899127690612
Epoch 18500/25000: Average Cost = 0.037272950416961284
Epoch 18600/25000: Average Cost = 0.0372272260504151
