time,force,position,velocity
0.0,-2.0473313800614887,-0.20284979726121044,0.22032990585387197
0.01,-2.0473313800614887,-0.13902713935482636,-0.21604874214164776
0.02,-2.0473313800614887,-0.36186238969243023,-0.5118188142343074
0.03,-2.0473313800614887,0.22455092083675443,-0.22263264256627385
0.04,-2.0473313800614887,0.2542650531079499,-0.2738034456841721
0.05,-2.0473313800614887,-0.12940530497651387,-0.42481570241760735
0.06,-2.0473313800614887,0.21012790901336814,0.060105676284930645
0.07,-2.0473313800614887,0.05344607935702596,0.017970940389195167
0.08,-2.0473313800614887,-0.4183618763664222,-0.2237441832945577
0.09,-2.0473313800614887,-0.09475682913036823,-0.5915403905231151
0.1,-2.0473313800614887,0.15644347152309238,-0.02516285717085115
0.11,-2.0473313800614887,0.08838582070042095,-0.2966601444129425
0.12,-2.0473313800614887,-0.23332733738891054,-0.19141371243896566
0.13,-2.0473313800614887,-0.18965189853611703,-0.33166790508071153
0.14,-2.0473313800614887,0.13488080889744167,0.10379841902960518
0.15,-2.0473313800614887,0.3423736315364344,-0.477536016129826
0.16,-2.0473313800614887,-0.03267320820539636,-0.32238279561760275
0.17,-2.0473313800614887,0.010397263599208943,-0.3227642301100626
0.18,-2.0473313800614887,0.4534037013979869,-0.3071631351412168
0.19,-2.0473313800614887,-0.426401686391444,-0.1947808483999615
0.2,-2.0473313800614887,-0.07527547685852254,-0.4982995752385249
0.21,-2.0473313800614887,-0.38962698526104284,-0.2960309865312964
0.22,-2.0473313800614887,0.21443181866730057,-0.3784892522854776
0.23,-2.0473313800614887,0.06941539313190115,-0.28996046716053514
0.24,-2.0473313800614887,-0.029596686658700532,-0.31428107387502674
0.25,-2.0473313800614887,0.2215479943506018,-0.4392451993019811
0.26,-2.0473313800614887,0.14004491093782778,-0.5202879656788824
0.27,-2.0473313800614887,-0.0064238347124288275,-0.6593886747653444
0.28,-2.0473313800614887,-0.05312970527144083,-0.27981756523066137
0.29,-2.0473313800614887,0.015058106147598532,-0.6439670290293863
0.3,-2.0473313800614887,-0.29504517335224323,-0.5036053586748228
0.31,-2.0473313800614887,-0.029406017279955968,-0.3138832935942377
0.32,-2.0473313800614887,-0.23887943594284772,-0.5321144788912928
0.33,-2.0473313800614887,-0.24797412852285555,-0.5672450790338922
0.34,-2.0473313800614887,-0.2001371010697514,-0.42075091890909944
0.35000000000000003,-2.0473313800614887,-0.026179125917337107,-0.762678250868228
0.36,-2.0473313800614887,0.07074692950978534,-0.9911960471092929
0.37,-2.0473313800614887,-0.20109173099359245,-0.741460140415584
0.38,-2.0473313800614887,0.06768039161763187,-0.40915286952827534
0.39,-2.0473313800614887,-0.2421379391815635,-0.775693316367738
0.4,-2.0473313800614887,-0.019960230629121944,-0.872257861321885
0.41000000000000003,-2.0473313800614887,0.23651083309083815,-0.6844258573542529
0.42,-2.0473313800614887,-0.09137286747386575,-0.5909179319712519
0.43,-2.0473313800614887,-0.03574841691224079,-0.4118566829605875
0.44,-2.0473313800614887,-0.12529464773313215,-0.4041706227666489
0.45,-2.0473313800614887,-0.33596273391810744,-0.7881866542431073
0.46,-2.0473313800614887,-0.06820070327484667,-0.9737030234352808
0.47000000000000003,-2.0473313800614887,-0.18144558299525596,-0.7484258652993993
0.48,-2.0473313800614887,-0.13480268704767268,-0.8062138306036377
0.49,-2.0473313800614887,-0.359329683367494,-0.663963063683886
0.5,-2.0473313800614887,-0.28640460486418895,-0.7014585850024669
0.51,-2.0473313800614887,-0.32146882485997264,-0.6549118102363055
0.52,-2.0473313800614887,-0.16271478905105635,-0.7733603165382084
0.53,-2.0473313800614887,-0.1384183910554752,-0.8359640095067682
0.54,-2.0473313800614887,-0.1859644934881488,-0.7581599261217874
0.55,-2.0473313800614887,0.009788362757824076,-0.6999136564542983
0.56,-2.0473313800614887,-0.2427063119154494,-0.6479337485346934
0.5700000000000001,-2.0473313800614887,-0.06116313943449017,-1.4306413006415117
0.58,-2.0473313800614887,-0.4067566016777031,-0.9196401508740369
0.59,-2.0473313800614887,-0.2573886493622495,-0.8553467124234634
0.6,-2.0473313800614887,-0.06857905526586744,-0.9835501147441824
0.61,-2.0473313800614887,-0.17327958577951946,-0.9754839729692493
0.62,-2.0473313800614887,-0.3208619161592011,-1.0422432829260406
0.63,-2.0473313800614887,-0.14443178401020654,-1.0359900258349686
0.64,-2.0473313800614887,-0.5673308910128003,-1.2923807535670542
0.65,-2.0473313800614887,0.13260621201557304,-0.6293880418512704
0.66,-2.0473313800614887,0.0016581253003660201,-0.9837456501367606
0.67,-2.0473313800614887,-0.537604889105086,-0.8387770138652342
0.68,-2.0473313800614887,-0.279823410672,-0.8834119557996367
0.6900000000000001,-2.0473313800614887,-0.2759053032990438,-0.27549266715329324
0.7000000000000001,-2.0473313800614887,-0.26990998661215176,-0.628123258932757
0.71,-2.0473313800614887,-0.06828006031009581,-0.8085947871280204
0.72,-2.0473313800614887,-0.053852219671783885,-1.2888511005677037
0.73,-2.0473313800614887,-0.2931045968343869,-0.7197468114144617
0.74,-2.0473313800614887,-0.6171316788136805,-1.2896366793411136
0.75,-2.0473313800614887,-0.4245552695657967,-0.8259841719977473
0.76,-2.0473313800614887,-0.45838735319675666,-0.9127450928382194
0.77,-2.0473313800614887,-0.33504441013981956,-0.8570933936198895
0.78,-2.0473313800614887,-0.45626482518235545,-0.9726490839687868
0.79,-2.0473313800614887,-0.3379654851294293,-0.9391262421061973
0.8,-2.0473313800614887,-0.7986234272421504,-1.123347719631293
0.81,-2.0473313800614887,-0.5115881880580535,-0.8266448487214428
0.8200000000000001,-2.0473313800614887,-0.6057983147653827,-0.7549914504691011
0.8300000000000001,-2.0473313800614887,-0.41597828647378127,-0.8189715366007322
0.84,-2.0473313800614887,-1.0938570219032608,-0.8652816809282861
0.85,-2.0473313800614887,-0.5289917385471918,-0.9593419693538411
0.86,-2.0473313800614887,-0.4850644678198951,-0.9273718053427671
0.87,-2.0473313800614887,-0.9100430728658715,-0.6928134804565496
0.88,-2.0473313800614887,-0.2752804199988072,-1.0319500043067704
0.89,-2.0473313800614887,-0.7053796567041766,-0.923442485637162
0.9,-2.0473313800614887,-0.3205450618768838,-0.9537120204482343
0.91,-2.0473313800614887,-0.5362898273217194,-0.8478952394823815
0.92,-2.0473313800614887,-0.5401572575627082,-0.8040663347823827
0.93,-2.0473313800614887,-0.7746764894910391,-0.8712048394057075
0.9400000000000001,-2.0473313800614887,-0.5242120218956006,-1.1041455722295124
0.9500000000000001,-2.0473313800614887,-0.8288297787768247,-0.941187008444147
0.96,-2.0473313800614887,-0.5649376467063898,-1.1843103347807906
0.97,-2.0473313800614887,-0.8864576167989591,-0.3539985890811971
0.98,-2.0473313800614887,-0.5739757965472334,-0.7478719568195589
0.99,-2.0473313800614887,-0.5036069011496789,-1.2276757384081243
1.0,-2.0473313800614887,-0.8005673880757486,-1.0921096514119788
1.01,-2.0473313800614887,-0.6622099299756261,-1.1756381655018078
1.02,-2.0473313800614887,-0.5550897499550937,-0.8288567559977327
1.03,-2.0473313800614887,-1.0328255880590698,-1.070892569873026
1.04,-2.0473313800614887,-0.5464270904414755,-0.8110599145348913
