time,input_force,position,velocity
0.0,4.390967437294457,0.0,0.0
0.01,4.402109102663531,0.0,0.04402109102663531
0.02,4.392867030948333,0.0004402109102663531,0.08783970860855204
0.03,4.322326496549739,0.0013186079963518737,0.1308424938807075
0.04,3.9846332615604405,0.002627032935158949,0.17035908304561745
0.05,4.697217000578542,0.004330623765615124,0.2169001012779185
0.06,4.670432080289427,0.006499624778394309,0.26305351058008675
0.07,4.202367864575988,0.009130159884195176,0.30440655619983964
0.08,4.421533851263914,0.012174225446193572,0.3478426180022108
0.09,4.358661696675326,0.01565265162621568,0.39053527997306614
0.1,4.36647430375768,0.01955800442594634,0.43319237950745787
0.11,4.079218932883913,0.02388992822102092,0.47286247187867647
0.12,4.38124807191431,0.02861855293980769,0.5154450165616808
0.13,4.626687157481682,0.0337730031054245,0.5603660384892138
0.14,5.019040670306719,0.03937666349031664,0.6090879840898471
0.15,4.585989668475081,0.04546754333121511,0.6533464074873927
0.16,4.531586897143697,0.05200100740608904,0.6969379753534487
0.17,4.40405593168067,0.05897038715962353,0.7391321877170596
0.18,4.387092294077979,0.06636170903679413,0.7810373394142275
0.19,4.696631028308489,0.0741720824309364,0.8259183329307032
0.2,4.565349864351597,0.08243126576024343,0.8693586915770305
0.21,4.380031116044233,0.09112485267601374,0.9108207434770097
0.22,4.302832625164041,0.10023306011078384,0.9513897681646055
0.23,4.474791986819657,0.10974695779242989,0.993558747492169
0.24,4.400413303330663,0.11968254526735159,1.0348594897411603
0.25,4.506037491635135,0.1300311401647632,1.077093350842624
0.26,4.461252973332769,0.14080207367318942,1.1187530849185154
0.27,4.585012846750385,0.1519896045223746,1.1615247265263766
0.28,4.2541192413146325,0.16360485178763837,1.2008581279141624
0.29,4.725541516970695,0.17561343306677998,1.2447841880605086
0.3,5.062805672409649,0.18806127494738506,1.2919490574483203
0.31,4.745871008955624,0.20098076552186828,1.335801772344361
0.32,4.550870727309933,0.2143387832453119,1.3775690136555556
0.33,4.683495271888883,0.22811447338186744,1.4205313662738148
0.34,4.30532599552614,0.24231978704460558,1.4595770688666279
0.35000000000000003,4.190484221391783,0.25691555773327185,1.49734832883429
0.36,4.661883147465897,0.27188904102161476,1.5397099583713967
0.37,4.399514731766569,0.28728614060532875,1.5793120527110907
0.38,4.237807444626892,0.30307926113243966,1.6171672747443713
0.39,4.33102481088974,0.31925093387988335,1.6558284461441428
0.4,4.281032603162847,0.33580921834132477,1.6938606991926513
0.41000000000000003,4.5340288406247655,0.3527478253332513,1.7342947174142347
0.42,4.623567623041769,0.37009077250739364,1.7754891612004502
0.43,4.684692756017832,0.38784566411939814,1.8171571843126126
0.44,4.686009530120913,0.40601723596252426,1.8586986953248015
0.45,4.658142623548108,0.42460422291577227,1.8998213403500455
0.46,4.465709886078246,0.4436024363192727,1.9388796774141213
0.47000000000000003,4.3824475851021685,0.46299123309341395,1.976969749198969
0.48,4.205512406189664,0.48276093058540365,2.0131564664216817
