time,x,p
0.0,0.0,0.0
0.1,-0.01387179057924659,-0.1387179057924659
0.2,-0.041446170189937716,-0.27574379610691124
0.30000000000000004,-0.08251264899414651,-0.410664788042088
0.4,-0.16898981649087774,-0.8647716749673122
0.5,-0.29983558119317033,-1.3084576470229257
0.6000000000000001,-0.4735969982759375,-1.7376141708276713
0.7000000000000001,-0.619671429202794,-1.4607443092685661
0.8,-0.7385120691807295,-1.188406399779355
0.9,-0.8305757370288627,-0.9206366784813316
1.0,-0.8962992241102324,-0.657234870813698
1.1,-0.9360690409431976,-0.39769816832965194
1.2000000000000002,-0.9866435036370035,-0.5057446269380579
1.3,-1.0318970354255206,-0.45253531788517143
1.4000000000000001,-1.0717772362863776,-0.39880200860856885
1.5,-1.1062414145058432,-0.34464178219465763
1.6,-1.1352573698095032,-0.2901595530365998
1.7000000000000002,-1.1426599021178232,-0.07402532308320087
1.8,-1.1177513544071043,0.24908547710718848
1.9000000000000001,-1.0609481991286764,0.5680315527842776
2.0,-0.9728874797683459,0.8806071936033054
2.1,-0.8986276274419813,0.7425985232636453
2.2,-0.8380794188671061,0.6054820857487516
2.3000000000000003,-0.7369707029906702,1.0110871587643582
2.4000000000000004,-0.5964793801109056,1.4049132287976458
2.5,-0.4180617056817865,1.7841767442911909
2.6,-0.20329372185435612,2.147679838274304
2.7,0.046222566190224995,2.495162880445811
2.8000000000000003,0.31970894177378006,2.7348637558355504
2.9000000000000004,0.6158398812289578,2.961309394551778
3.0,0.9331982548257597,3.1735837359680183
3.1,1.2702616714910033,3.370634166652437
3.2,1.6086350523220385,3.3837338083103523
3.3000000000000003,1.885090943233255,2.7645589091121634
3.4000000000000004,2.1004658513373977,2.153749081041429
3.5,2.25575895443993,1.5529310310253241
3.6,2.35213959346137,0.963806390214399
3.7,2.483013117801239,1.3087352433986916
3.8000000000000003,2.6468775164527076,1.6386439865146845
3.9000000000000004,2.842018083246057,1.9514056679334937
4.0,2.974061825356255,1.3204374211019831
4.1000000000000005,3.04423996088903,0.7017813553277471
4.2,3.0537500806201514,0.09510119731121391
4.3,3.0300331864351855,-0.23716894184965975
4.4,2.9735549576793208,-0.5647822875586488
4.5,2.885067687229241,-0.8848727045008002
4.6000000000000005,2.765667335655336,-1.194003515739046
4.7,2.6167237065803914,-1.489436290749446
4.800000000000001,2.432129017378158,-1.8459468920223363
4.9,2.213787220115067,-2.183417972630906
5.0,1.9636697896578117,-2.5011743045725536
5.1000000000000005,1.713779178372347,-2.4989061128546455
5.2,1.4650677447516152,-2.487114336207318
5.300000000000001,1.21839233120229,-2.466754135493251
5.4,0.9745152835800386,-2.4387704762225138
5.5,0.7341065520146624,-2.404087315653762
5.6000000000000005,0.4977467030785486,-2.3635984893611375
5.7,0.26593067788351765,-2.3181602519503097
5.800000000000001,0.03907213889959463,-2.26858538983923
5.9,-0.18249174074542326,-2.215638796450179
6.0,-0.3984618756402836,-2.1597013489486034
6.1000000000000005,-0.6085141868875525,-2.1005231124726897
6.2,-0.8123032749796794,-2.037890880921268
6.300000000000001,-1.0094677159757641,-1.9716444099608477
6.4,-1.1996353790459906,-1.9016766307022643
6.5,-1.3824287253335203,-1.8279334628752986
6.6000000000000005,-1.5574700351568398,-1.7504130982331947
6.7,-1.7243864975853607,-1.6691646242852078
6.800000000000001,-1.8828150836498032,-1.584285860644425
6.9,-2.032407112506037,-1.495920288562338
7.0,-2.1728324099104253,-1.4042529740438847
7.1000000000000005,-2.3037829523702773,-1.3095054245985218
7.2,-2.42497589143385,-1.2119293906357282
7.300000000000001,-2.5361558652874656,-1.1117997385361558
